Locus_tag	Spot_volumes_means (Xm)
y0769	1279146 (70%)
y1417	6056159 (10%)
y1487	7612236 (21%)
y1489	40753944 (7%)
y1507	5705130 (22%)
y1777	
y1876	1065336 (59%)
y1947	N.A.
y1990	21321984 (8%)
y2067	
y2101 	4147248 (14%)
y2132	
y2139	
y2165	32631860 (48%)
y2175 	
y2238	
y2244	3380565 (65%)
y2262	
y2290	N.A.
y2524	9158109 (55%)
y2751	
y2755	N.A.
y2781	10782911 (50%)
y2821	2262009 (30%)
y3119	1123459 (48%)
y3135	13399480 (39%)
y3137	N.A.
y3307	24672946 (3%)
y3310	14049576 (52%)
y3499	9816774 (5%)
y3524	
y3529	
y3537	
y3630	
y3631	N.A.
y3693	3403990 (6%)
y3697	N.A.
y3804	N.A.
y3858	5467134 (71%)
y3913	
y3990	
y4001	
