Locus_tag	Spot_volumes_means (Xm)	Spot_quantity (Vs)
y4137	65087905 (17%)	23485934
y4138	7714615 (110%)	2844541
y4139	3146701 (16%)	4804610
YPKMT065		3675224
YPKMT089		
y0294	N.A.	1904693
y0609	41959118 (85%)	62106044
y0651	1937079 (24%)	
y0687	5690008 (31%)	8842254
y0694	7783717 (15%)	7970085
y0807	N.A.	30799152
y0815	N.A.	22552686
y0988	7170051 (59%)	17835100
y1026	707927 (25%)	17677180
y1029	1370487 (36%)	969695
y1239	9388539 (48%)	6377500
y1363	2128419 (21%)	2838386
y1620	233586 (176%)	1190450
y2394	1277811 (65%)	737269
y2399		+
y2400		+
y2401		+
y2403	N.A.	+
y3055	8547862 (66%)	4979726
y3067	896481 (53%)	919472
y3314	465932 (42%)	890009
y3673	1814020 (97%)	6005872
y3706	2130087 (34%)	7913092
y3985	3637891 (52%)	6125516
y3986	13055659 (13%)	9757538
y4015	12064543 (29%)	19858712
YPKMT067		9419818
Y1069	10898641 (51%)	20860072
y0048		
y0161	1265451 (18%)	7885414
y0223		6523365
y0244		+
y0303	N.A.	+
y0308	1108520 (97%)	2983366
y0345	N.A.	3576030
y0361		+
y0366		
y0401	N.A.	
y0483	24745112 (42%)	41141292
y0484	3780100 (96%)	3911324
y0485		208939
y0557	N.A.	+
y0638	1569011 (42%)	2877093
y0645	6978952 (87%)	21510666
y0647	15600062 (62%)	36278696
y0668	1942877 (76%)	3227069
y0672	4692047 (10%)	5362995
y0688	526615 (163%)	868616
y0689	N.A.	+
y0784		2811953
y0785	N.A.	
y0814	5921874 (44%)	11921870
y0843	N.A.	+
y0881	N.A.	+
y0892		
y0895	820463 (6%)	1013057
y0904	N.A.	
y0960	2094387 (N/A)	2473720
y1315		
y1331		3533706
y0769	1481606 (73%)	3227069
y1417	1615536 (44%)	3137125
y1487	1314444 (50%)	2353931
y1489	6712286 (9%)	7434669
y1507	3830276 (62%)	2406999
y1777		
y1876	N.A.	+
y1947	N.A.	1561714
y1990	2722683 (35%)	2877855
y2067		
y2101 	N.A.	509432
y2132		
y2139		
y2165	5510392 (96%)	15066548
y2175 		
y2238		
y2244	570985 (53%)	1084658
y2262		
y2290	541274 (23%)	504562
y2524	3592727 (20%)	5384532
y2751		
y2755	N.A.	+
y2781	24735783 (52%)	30511304
y2821	N.A.	1786730
y3119	N.A.	+
y3135	4443973 (15%)	6483588
y3137	5636589 (157%)	7785652
y3307	4488649 (38%)	7751403
y3310	2804280 (71%)	7621999
y3499	N.A.	+
y3524		
y3529		+
y3537		+
y3630		
y3631	1221502 (2%)	885901
y3693	N.A.	6215266
y3697	368966 (43%)	447771
y3804	4846996 (12%)	5351391
y3858	1784986 (91%)	14442134
y3913		+
y3990		13983818
y4001		504562
