Locus_tag	Spot_volumes_means (Xm)	Spot_quantity (Vs)
y2023	495641 (37%)	212744
y2168	1983355 (62%)	4314412
y2295	N.A.	844958
y2402	479200 (69%)	1610217
y2455	186782 (50%)	332298
y2551	901745 (159%)	3631766
y2739	N.A.	321774
y2766	N.A.	
y2809	838320 (16%)	384469
y3065	N.A.	+
y3066	716516 (33%)	465548
y3068	N.A.	
y3069	1105159 (113%)	1966878
y3123	N.A.	
y3124	N.A.	
y3126		35541052
y3219		+
y3295		2829482
y3555	N.A.	+
y3590	N.A.	1855574
y3609	7422071 (27%)	5488140
y3617	4081807 (48%)	409360
y3621	726001 (23%)	1530666
y3657	N.A.	
y3669	1575905 (76%)	3607418
y3753	N.A.	+
y3773	351871 (119%)	
y3859	1410906 (89%)	18847864
y3916	1389395 (112%)	1083552
y4101	N.A.	+
y4127	495209 (58%)	7106826
y4133	314374 (43%)	2886614
y4134	N.A.	
y4135	5765448 (30%)	3901134
y4136	N.A.	+
y4137	5891841 (56%)	6494776
y4138	684927 (59%)	1087542
y4139	N.A.	+
YPKMT065		+
YPKMT089		1953590
y0294	269782 (63%)	252191
y0609	2321416 (33%)	1521212
y0651	N.A.	2519200
y0687	N.A.	+
y0694	N.A.	335678
y0807	N.A.	+
y0815	N.A.	+
y0988	210655 (235%)	763190
y1026	244603 (41%)	3642542
y1029	815841 (54%)	442861
y1239	422979 (55%)	439008
y1363	N.A.	+
y1620	211556 (25%)	186523
y2394	1842535 (41%)	2138322
y2399		439008
y2400		71225
y2401		19205108
y2403	524024 (111%)	342552
y3055	1093346 (98%)	1315936
y3067	177392 (31%)	161806
y3314	1753164 (101%)	6890280
y3673	1767582 (112%)	3805386
y3706	511523 (70%)	1693404
y3985	4832350 (71%)	1090612
y3986	10333229 (28%)	3413908
y4015	147030 (18%)	5795792
YPKMT067		2395472
Y1069	557178 (246%)	2120680
y0048		463889
y0161	423360 (68%)	3857726
y0223		
y0244		510754
y0303	309687 (108%)	169730
y0308	N.A.	663804
y0345	451251 (55%)	252191
y0361		6615096
y0366		124569
y0401	274443 (51%)	966728
y0483	N.A.	812366
y0484	1178960 (9%)	332253
y0485		+
y0557	236456 (74%)	193640
y0638	N.A.	+
y0645	2004925 (22%)	2041620
y0647	N.A.	+
y0668	655127 (23%)	561018
y0672	N.A.	+
y0688	145679 (26%)	742674
y0689	N.A.	+
y0784		2811953
y0785	484893 (41%)	323701
y0814	N.A.	520022
y0843	131107 (38%)	124632
y0881	1002904 (31%)	709996
y0892		+
y0895	N.A.	
y0904	161422 (29%)	237437
y0960	408919 (17%)	297632
y1315		+
y1331		+
y0769	N.A.	1159496
y1417	N.A.	+
y1487	336403 (15%)	1461840
y1489	984673 (199%)	1838636
y1507	511474 (40%)	2939740
y1777		+
y1876	656636 (23%)	649895
y1947	350973 (9%)	+
y1990	N.A.	498682
y2067		+
y2101 	N.A.	2562442
y2132		+
y2139		+
y2165	N.A.	418552
y2175 		+
y2238		+
y2244	367033 (39%)	2164596
y2262		+
y2290	N.A.	2085306
y2524	N.A.	+
y2751		+
y2755	N.A.	+
y2781	2768268 (36%)	932028
y2821	161325 (113%)	2318436
y3119	722625 (82%)	3250474
y3135	583797 (178%)	2567790
y3137	N.A.	+
y3307	508534 (123%)	751146
y3310	N.A.	293562
y3499	N.A.	+
y3524		+
y3529		+
y3537		+
y3630		+
y3631	N.A.	
y3693	N.A.	2953496
y3697	N.A.	
y3804	N.A.	
y3858	N.A.	+
y3913		+
y3990		6970722
y4001		2085306
